project,seed,profile,dose,latency,model,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-compress,7,fp_heavy,0.15,none,NA(fp_filter),348,139,0.11726345608438837,0.5129923767792968,-0.08742063809660618,0.20150776191670491
commons-compress,7,fp_heavy,0.2,uniform,OOB,407,130,0.06859838778985176,0.47215481991615016,-0.09900784513089626,0.29455398294543456
commons-compress,7,fp_heavy,0.2,uniform,ORB,407,130,-0.013185691559319408,0.4617482791724488,-0.00426192016794826,0.4934342649558585
commons-compress,7,fp_heavy,0.2,uniform,NA(damp),407,130,-5.9732275514048936e-05,0.467470642655646,0.13906041650278123,0.7036731692433699
commons-compress,7,fp_heavy,0.2,uniform,NA(fp_filter),407,130,-0.00679657288918539,0.4306085401937501,0.0003244704634314406,0.4697011575087599
commons-compress,7,fp_heavy,0.2,none,OOB,407,130,0.09313668266140439,0.5494189495760742,-0.030396775149134116,0.43152062029021226
commons-compress,7,fp_heavy,0.2,none,ORB,407,130,0.10087015481548904,0.5706123308785015,-0.004859616935323314,0.45887114389555617
commons-compress,7,fp_heavy,0.2,none,NA(damp),407,130,0.055480742304106295,0.5154062725584111,-0.06458882762803245,0.3080499891208232
commons-compress,7,fp_heavy,0.2,none,NA(fp_filter),407,130,0.0850977734411089,0.5095524180552375,-0.02306260502405363,0.3405944799901062
commons-compress,7,fp_heavy,0.25,uniform,OOB,465,121,0.03491525118411816,0.44177643061496397,-0.1636220427509412,0.2046301947116735
commons-compress,7,fp_heavy,0.25,uniform,ORB,465,121,-0.006848568332919909,0.4667503937575443,-0.002378591247676489,0.49603298863715145
commons-compress,7,fp_heavy,0.25,uniform,NA(damp),465,121,0.022071239499759077,0.4838114322706019,0.014186819743967563,0.521429215315555
commons-compress,7,fp_heavy,0.25,uniform,NA(fp_filter),465,121,0.014081819648847117,0.47691757862380235,0.1340678769306572,0.6957224667831927
commons-compress,7,fp_heavy,0.25,none,OOB,465,121,0.1061818995597064,0.5689228485049659,0.048139399930299996,0.5711956822030558
commons-compress,7,fp_heavy,0.25,none,ORB,465,121,0.05954550837531602,0.5348685037767521,-0.03526949347747749,0.4201223654219376
commons-compress,7,fp_heavy,0.25,none,NA(damp),465,121,0.08538272653451945,0.5515172096626338,-0.04568099284921142,0.3695817015414722
commons-compress,7,fp_heavy,0.25,none,NA(fp_filter),465,121,0.09302776216963592,0.5297552095574712,-0.026972633926595414,0.33896788096695724
commons-compress,7,fp_heavy,0.3,uniform,OOB,522,106,0.0646825898156244,0.5152318954697229,-0.11821126153135621,0.29850020438802377
commons-compress,7,fp_heavy,0.3,uniform,ORB,522,106,0.0050605149195251855,0.4517888762362787,0.042420340798913526,0.5578308023375225
commons-compress,7,fp_heavy,0.3,uniform,NA(damp),522,106,0.03921116846656113,0.47859398625791455,-0.015789276747977796,0.45455484968763327
commons-compress,7,fp_heavy,0.3,uniform,NA(fp_filter),522,106,0.027153763343283024,0.45512088429024866,0.04205453078077986,0.4636399051446023
commons-compress,7,fp_heavy,0.3,none,OOB,522,106,0.09791610834161886,0.5546006675906588,-0.004121880841006687,0.4936536915835861
commons-compress,7,fp_heavy,0.3,none,ORB,522,106,0.032961954910429477,0.5079380320973754,-0.09198150925626285,0.28930998583973633
commons-compress,7,fp_heavy,0.3,none,NA(damp),522,106,0.0843691599088749,0.5490788628046231,-0.0019391126362797361,0.4945872109327655
commons-compress,7,fp_heavy,0.3,none,NA(fp_filter),522,106,0.08867239987017882,0.536399449390111,0.08036866491703644,0.588713150822625
commons-compress,7,mid,0.05,uniform,OOB,211,153,0.1139173810680476,0.5026412283846469,0.018267920970612674,0.5223982854426159
commons-compress,7,mid,0.05,uniform,ORB,211,153,0.039849967606550435,0.4633677716908077,-0.06340286403434019,0.3162325889269963
commons-compress,7,mid,0.05,uniform,NA(damp),211,153,0.10348539723954985,0.5011963348284978,0.05999079880016332,0.5702727369926548
commons-compress,7,mid,0.05,uniform,NA(fp_filter),211,153,0.10932887988629236,0.519754970284016,0.11209729972048596,0.5715895055257687
commons-compress,7,mid,0.05,none,OOB,211,153,0.14779028278978376,0.5944036873714984,0.013527413358870337,0.5208005625886698
commons-compress,7,mid,0.05,none,ORB,211,153,0.08382239293880854,0.5372066578798569,0.04864906103920321,0.5570953527173859
commons-compress,7,mid,0.05,none,NA(damp),211,153,0.11884609234798826,0.563900192222167,0.028433782362900107,0.5365340157486398
commons-compress,7,mid,0.05,none,NA(fp_filter),211,153,0.15582106584794467,0.5427485366075798,0.054812351974307734,0.36436297834863157
commons-compress,7,mid,0.1,uniform,OOB,243,132,0.047256419579158646,0.4214525173904177,0.07029565231066885,0.6036399531926322
commons-compress,7,mid,0.1,uniform,ORB,243,132,0.00977993293011949,0.46761467256097405,0.041416117313783446,0.5479659402300088
commons-compress,7,mid,0.1,uniform,NA(damp),243,132,0.07765990427866233,0.5030373718176482,-0.09338222912924314,0.22199597473253352
commons-compress,7,mid,0.1,uniform,NA(fp_filter),243,132,0.011386959923723157,0.44564692852290894,0.0036232070211916255,0.35578432024968915
commons-compress,7,mid,0.1,none,OOB,243,132,0.12768300995957696,0.5797344516063117,0.045391973060496124,0.5645963435541755
commons-compress,7,mid,0.1,none,ORB,243,132,0.08366485857528258,0.5427832003778288,-0.053788805759985646,0.3548032523251942
commons-compress,7,mid,0.1,none,NA(damp),243,132,0.0727379758572237,0.5233535091265703,-0.07114724908785132,0.30962063340725865
commons-compress,7,mid,0.1,none,NA(fp_filter),243,132,0.11414251532182593,0.5186805721195757,0.03515700023982346,0.3739503156871924
commons-compress,7,mid,0.15,uniform,OOB,274,109,0.036773951049371534,0.41646681649556816,0.11283173760883919,0.6628875536590599
commons-compress,7,mid,0.15,uniform,ORB,274,109,0.023979469386221915,0.4739637214242613,-0.08853744347018971,0.2941197248061387
commons-compress,7,mid,0.15,uniform,NA(damp),274,109,0.011688374270530388,0.46110669420437245,0.07610920136714268,0.6083720845980605
commons-compress,7,mid,0.15,uniform,NA(fp_filter),274,109,-0.00532891227755018,0.4324152653776376,-0.012384262610986338,0.3378316628967343
commons-compress,7,mid,0.15,none,OOB,274,109,0.10133703161140466,0.5580252091017716,0.04852303644214347,0.572679514810242
commons-compress,7,mid,0.15,none,ORB,274,109,0.03610670935978607,0.48775803973347354,-0.06360187686277473,0.265871630553366
commons-compress,7,mid,0.15,none,NA(damp),274,109,0.0931064730702441,0.5413189196156373,-0.04060100058964469,0.3073065924841274
commons-compress,7,mid,0.15,none,NA(fp_filter),274,109,0.06798604017636731,0.4614295771119663,-0.043411176178003795,0.1727010955600473
commons-compress,7,mid,0.2,uniform,OOB,327,94,0.030692597662376673,0.4394991205316079,0.08121389446868216,0.6203401124102869
commons-compress,7,mid,0.2,uniform,ORB,327,94,0.01258747731905088,0.46402921698286,-0.09421704210212972,0.2271793324279668
commons-compress,7,mid,0.2,uniform,NA(damp),327,94,-0.005067559979440994,0.4717884404403705,0.03980731519098756,0.5457579473486378
commons-compress,7,mid,0.2,uniform,NA(fp_filter),327,94,0.023888643875228547,0.48611105749091776,0.023009271211811243,0.3110479291241168
commons-compress,7,mid,0.2,none,OOB,327,94,0.0816210969583224,0.5474493109471028,-0.034692553284270004,0.43235988048496066
commons-compress,7,mid,0.2,none,ORB,327,94,0.06674809919578611,0.5315052297519886,0.03905179196303494,0.5465182644028622
commons-compress,7,mid,0.2,none,NA(damp),327,94,0.06026130738153522,0.5195029857251398,-0.05887277273862628,0.29884688305923957
