project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,202,BSZZ_immediate,451,48,0,0.1869336895027609,0.5641423362749538,0.05309681676018454,0.5654465412779677
ant-ivy,202,BSZZ_at_window,451,48,0,0.25502905196051867,0.639777903031777,0.19955188188415715,0.7346586501717467
ant-ivy,202,fp_repair_matched,451,48,48,0.12740041266269245,0.5683156649448541,-0.020321567215533024,0.4743255644515864
ant-ivy,202,fp_repair_frac_0.25,451,48,113,0.13810557821136085,0.5679223477287111,-0.008779441578930732,0.48875285665062596
ant-ivy,202,fn_repair_frac_0.25,451,48,12,0.1555223747053243,0.5763742810284652,-0.023017944229677945,0.47121754883927314
ant-ivy,202,fp_repair_frac_0.50,451,48,226,0.13602909788508843,0.5722167001801095,-0.07782709535592444,0.3915217743488603
ant-ivy,202,fn_repair_frac_0.50,451,48,24,0.17211194716056813,0.5869237449215295,-0.014119275843827116,0.48160630872851173
ant-ivy,202,fp_repair_frac_0.75,451,48,338,0.1053988685896677,0.5495149263468769,-0.0010771052268932853,0.48955488485043464
ant-ivy,202,fn_repair_frac_0.75,451,48,36,0.16609643459991658,0.5837578301286687,-0.0017764140432416121,0.4962237617772005
ant-ivy,202,fp_repair_frac_1.00,451,48,451,0.18462467421976303,0.5991899928719274,-0.016379889860978585,0.44691828427655633
ant-ivy,202,fn_repair_frac_1.00,451,48,48,0.14534837211229643,0.5755185007578563,0.033223803184244394,0.538825394336314
ant-ivy,202,fn_repair_immediate,451,48,48,0.1773331629397798,0.5596326543570205,0.05352201451707022,0.5643339145874262
ant-ivy,202,fn_repair_at_window,451,48,48,0.2412992925481287,0.6329725819068858,0.1802962612174716,0.7135302431817234
ant-ivy,314,BSZZ,451,48,0,0.1612195665372854,0.5853944176196879,-0.004120169478692969,0.4946204911278951
ant-ivy,314,BSZZ_immediate,451,48,0,0.18214909672010887,0.5649133738153789,0.08907527141725674,0.6060384922346609
ant-ivy,314,BSZZ_at_window,451,48,0,0.2126378038857423,0.6112033205447568,0.17103184162798732,0.7034324782105063
ant-ivy,314,fp_repair_matched,451,48,48,0.15630362371699388,0.5787109948830673,-0.015854605259962774,0.47998319887235
ant-ivy,314,fp_repair_frac_0.25,451,48,113,0.15469825471627563,0.5829839981588012,0.0133037842795602,0.5165245153337961
ant-ivy,314,fn_repair_frac_0.25,451,48,12,0.1355159170780695,0.5690337973508595,0.012789821225865715,0.5157847376093389
ant-ivy,314,fp_repair_frac_0.50,451,48,226,0.18562124263499358,0.6064070973611918,0.01874441604341093,0.5213791607625485
ant-ivy,314,fn_repair_frac_0.50,451,48,24,0.13934816893101756,0.5687877808157564,-0.04558316323652314,0.44085014180312676
ant-ivy,314,fp_repair_frac_0.75,451,48,338,0.13947473333819982,0.5739863696327322,0.016991125923371576,0.5149311764161139
ant-ivy,314,fn_repair_frac_0.75,451,48,36,0.12886665640351574,0.5642255658117663,-0.04835378606204089,0.44009032851026786
ant-ivy,314,fp_repair_frac_1.00,451,48,451,0.17725796083130776,0.5982022691964484,-0.014117847089054569,0.4521214133562196
ant-ivy,314,fn_repair_frac_1.00,451,48,48,0.13968394908281465,0.568384797961855,0.023246666274305185,0.5205637090427262
ant-ivy,314,fn_repair_immediate,451,48,48,0.20098313758344796,0.5708347829460607,0.058161502988968425,0.5693947094254412
ant-ivy,314,fn_repair_at_window,451,48,48,0.26003307515205615,0.6463459913174682,0.21043738719771757,0.7461932862319979
ant-ivy,999,BSZZ,451,48,0,0.1510225947405722,0.5771181716084526,-0.0009105392406168583,0.4985805139614829
ant-ivy,999,BSZZ_immediate,451,48,0,0.16363926426816935,0.5520226406171514,0.07073280153767215,0.587162729578094
ant-ivy,999,BSZZ_at_window,451,48,0,0.22520476449786797,0.6198383077813002,0.19410372423320973,0.7280980956484797
ant-ivy,999,fp_repair_matched,451,48,48,0.138659165413634,0.5665929025727124,-0.04113526772255988,0.44853672394747035
ant-ivy,999,fp_repair_frac_0.25,451,48,113,0.16550012680647325,0.5899068163625686,0.030729399474031978,0.538010754812399
ant-ivy,999,fn_repair_frac_0.25,451,48,12,0.15400110711682236,0.5798458138049398,0.00036796678430006777,0.500054091336342
ant-ivy,999,fp_repair_frac_0.50,451,48,226,0.13053354779264575,0.56845684168163,-0.027968787544152707,0.45726191465849125
ant-ivy,999,fn_repair_frac_0.50,451,48,24,0.1622233640007562,0.5797597118994686,-0.004806521219642019,0.4933584995013718
ant-ivy,999,fp_repair_frac_0.75,451,48,338,0.19519302704398755,0.6044849490800704,-0.08722766427990862,0.35866238427636443
ant-ivy,999,fn_repair_frac_0.75,451,48,36,0.16057912809439331,0.5839038795487912,-0.0004048296706434592,0.49878459261669494
ant-ivy,999,fp_repair_frac_1.00,451,48,451,0.17283165998745095,0.5924603733326841,0.02757215649221482,0.5202910498024688
ant-ivy,999,fn_repair_frac_1.00,451,48,48,0.1367270105332211,0.5675419640353061,-0.016069243714191626,0.47828083705678487
ant-ivy,999,fn_repair_immediate,451,48,48,0.19741123921552922,0.5656095323043413,-0.00010040283794833217,0.49986580550517157
ant-ivy,999,fn_repair_at_window,451,48,48,0.24104200761879638,0.6336315062446278,0.17610022946627504,0.7091783931539808
commons-bcel,7,BSZZ,86,31,0,0.17936243539566982,0.6180924976336486,-0.03742985500588571,0.45996798413356343
commons-bcel,7,BSZZ_immediate,86,31,0,0.05846420775118836,0.4857937274932538,-0.1637962486858674,0.32521188415650004
commons-bcel,7,BSZZ_at_window,86,31,0,0.12919539284971068,0.5776073582285737,0.0578545326361901,0.5604429322943394
commons-bcel,7,fp_repair_matched,86,31,31,0.12576829916003857,0.5674127282018633,-0.10460658267703482,0.3882414435876619
commons-bcel,7,fp_repair_frac_0.25,86,31,22,0.18780152651793852,0.616892532517768,-0.03653779212795552,0.4607873450925827
commons-bcel,7,fn_repair_frac_0.25,86,31,8,0.14640960261832178,0.591915803975961,-0.03514022530579573,0.4607191276519283
commons-bcel,7,fp_repair_frac_0.50,86,31,43,0.14150328984272384,0.5728003269555346,-0.06803388838586245,0.4223226663011829
commons-bcel,7,fn_repair_frac_0.50,86,31,16,0.1338480310403971,0.5760431151864468,-0.07962271046056216,0.41598417754469
commons-bcel,7,fp_repair_frac_0.75,86,31,64,0.16727443966611083,0.606718177427386,0.07152681037069424,0.5680019644055821
commons-bcel,7,fn_repair_frac_0.75,86,31,23,0.13038587755338765,0.5951115071325939,-0.04690902917477655,0.44986235557790133
commons-bcel,7,fp_repair_frac_1.00,86,31,86,0.172971112263283,0.5985972228347316,0.1969732546062865,0.7009077489985657
commons-bcel,7,fn_repair_frac_1.00,86,31,31,0.08108551022888559,0.5558948125891237,-0.04816580703214068,0.4482669828822243
commons-bcel,7,fn_repair_immediate,86,31,31,0.055537566076807834,0.48412232234237595,-0.046406778596541264,0.37894642800654665
commons-bcel,7,fn_repair_at_window,86,31,31,0.15639967744994535,0.5874865187405792,0.004297348719695682,0.5024725558092565
commons-bcel,13,BSZZ,86,31,0,0.140563033369301,0.5873213013009715,-0.016831085897104955,0.481849127299748
commons-bcel,13,BSZZ_immediate,86,31,0,0.061105570355415105,0.48895045039485246,-0.16029234687938437,0.32784609683973176
commons-bcel,13,BSZZ_at_window,86,31,0,0.14479443903464428,0.5920020971723432,0.06696290036027364,0.568811034472185
commons-bcel,13,fp_repair_matched,86,31,31,0.13616602315152934,0.572022993606765,0.008614242752298605,0.5078419386104026
commons-bcel,13,fp_repair_frac_0.25,86,31,22,0.1125461386579784,0.5483164391543766,-0.08098826617533524,0.41337493235875344
commons-bcel,13,fn_repair_frac_0.25,86,31,8,0.1306757580004258,0.5770583943720899,-0.1066769180575716,0.38269002082953535
commons-bcel,13,fp_repair_frac_0.50,86,31,43,0.1545189037117347,0.5863624327051205,0.0019842106967445975,0.49454828803825773
commons-bcel,13,fn_repair_frac_0.50,86,31,16,0.09036605766511444,0.5355706107757673,0.025292245030604527,0.5224488812134775
commons-bcel,13,fp_repair_frac_0.75,86,31,64,0.14741163172258223,0.5833853876612096,-0.02864507102828724,0.4685828922783049
commons-bcel,13,fn_repair_frac_0.75,86,31,23,0.15642093909126328,0.6048489959548706,0.061348975737186125,0.5555260897041766
commons-bcel,13,fp_repair_frac_1.00,86,31,86,0.17119520295071006,0.5971188166084739,0.19350022527088126,0.6977755329943146
commons-bcel,13,fn_repair_frac_1.00,86,31,31,0.13758100879383536,0.5888065960569921,-0.0650658192482057,0.4298128030020001
commons-bcel,13,fn_repair_immediate,86,31,31,0.05387229814932579,0.48886516523693047,-0.04122262008965192,0.38786824860284763
commons-bcel,13,fn_repair_at_window,86,31,31,0.11002179270587,0.5461377932992253,0.04898131187462232,0.5520371892700401
commons-bcel,21,BSZZ,86,31,0,0.17742008846124538,0.6127348908256414,-0.048253870452761964,0.44760893324921336
commons-bcel,21,BSZZ_immediate,86,31,0,0.02650891599027827,0.456185817884687,-0.1617263942091221,0.3269316346738392
commons-bcel,21,BSZZ_at_window,86,31,0,0.16321480725798537,0.6093495958532509,0.08261383304266076,0.5866095762298953
commons-bcel,21,fp_repair_matched,86,31,31,0.1628904207936121,0.6040242278821357,-0.10750622113922688,0.3828022070053716
commons-bcel,21,fp_repair_frac_0.25,86,31,22,0.19073285221623365,0.6292614261005416,-0.041609846100430295,0.45537000197811583
commons-bcel,21,fn_repair_frac_0.25,86,31,8,0.16546475595085475,0.6034138345442535,-0.043707765560878534,0.4491302033225019
commons-bcel,21,fp_repair_frac_0.50,86,31,43,0.13457345899826653,0.5699664431361914,0.025914543261907598,0.5273579248754887
commons-bcel,21,fn_repair_frac_0.50,86,31,16,0.1719657585021471,0.6143033189845029,-0.033564974401900725,0.4638252318286442
commons-bcel,21,fp_repair_frac_0.75,86,31,64,0.17610403786104534,0.6094969676252909,0.05304525295116747,0.5454442210601309
commons-bcel,21,fn_repair_frac_0.75,86,31,23,0.13832588760622663,0.583471928768073,-0.07026176406350922,0.4254179899407491
commons-bcel,21,fp_repair_frac_1.00,86,31,86,0.17703550852609526,0.6041250956545956,0.15908463751617039,0.662872384525213
commons-bcel,21,fn_repair_frac_1.00,86,31,31,0.14039063530939885,0.585698972580343,0.036767400258512474,0.5203902558820596
commons-bcel,21,fn_repair_immediate,86,31,31,0.04880701746373149,0.4870324939929275,-0.04010110133392185,0.39028371847477755
commons-bcel,21,fn_repair_at_window,86,31,31,0.14472672243826187,0.5705754068315866,0.011178964427113651,0.5092730877084937
commons-bcel,42,BSZZ,86,31,0,0.1946686456856143,0.6322427688484238,-0.031055662325835003,0.46689583477220703
commons-bcel,42,BSZZ_immediate,86,31,0,0.05711725436584235,0.4857004099410995,-0.16181623176804147,0.3267771938535485
commons-bcel,42,BSZZ_at_window,86,31,0,0.16262561284387403,0.6086224862480402,0.0714200523131005,0.5739697550557764
commons-bcel,42,fp_repair_matched,86,31,31,0.1770048744279098,0.6154595141622184,-0.013418663826171165,0.4781601931282475
commons-bcel,42,fp_repair_frac_0.25,86,31,22,0.210463902167945,0.6437488352939198,0.11128020977141143,0.6140757653310542
commons-bcel,42,fn_repair_frac_0.25,86,31,8,0.16640560901625367,0.6078178206745376,-0.07710850516880867,0.41842910670509564
