project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,77,symmetric,0.25,none,332,629,258,0.029001118852437925,0.49767814149230455,0.05410514012719783,0.5655199223895847
ant-ivy,77,symmetric,0.3,none,332,672,241,0.041042371617093766,0.5111333836424373,-0.03344231885337219,0.4445473364035425
ant-ivy,77,fp_heavy,0.05,none,332,377,320,0.17536912919472145,0.5962433092911308,0.0914284129008471,0.5939816396779535
ant-ivy,77,fp_heavy,0.1,none,332,430,298,0.1339518969375898,0.5651217062498315,-0.0009216126963997182,0.4665327923563844
ant-ivy,77,fp_heavy,0.15,none,332,487,280,0.12524723864590812,0.5666774539533717,-0.032372508949622056,0.4307242494236017
ant-ivy,77,fp_heavy,0.2,none,332,539,257,0.030687606619352076,0.49712198679736536,-0.05273821301927015,0.4088846069931913
ant-ivy,77,fp_heavy,0.25,none,332,573,231,0.039931344980447266,0.5081826312128266,-0.03222519827675924,0.4442234715601044
ant-ivy,77,fp_heavy,0.3,none,332,622,209,0.013555449978216083,0.4866712466458104,-0.027582385276590654,0.44851102034788304
ant-ivy,77,mid,0.05,none,332,349,304,0.15818510731993057,0.5835818872670052,0.06954896632015678,0.5699552405651888
ant-ivy,77,mid,0.1,none,332,358,268,0.12304494227985133,0.5483290481384072,-0.009437591289048442,0.4388482732222573
ant-ivy,77,mid,0.15,none,332,385,227,0.07925176874266253,0.5275493035714419,-0.021779748449769792,0.45320540149894417
ant-ivy,77,mid,0.2,none,332,407,195,0.0845909870098739,0.5341878751847952,-0.002262096683986404,0.47517015362926796
ant-ivy,77,mid,0.25,none,332,432,161,0.027874646705643085,0.48762170430794416,-0.12497079428440559,0.2625669171418687
ant-ivy,77,mid,0.3,none,332,443,125,0.03513039082760493,0.49929417972286305,-0.09942602329347738,0.30735669092565354
ant-ivy,77,fn_heavy,0.05,none,332,300,280,0.19408353992434915,0.6044390037756655,0.08460360083839351,0.5874621169666762
ant-ivy,77,fn_heavy,0.1,none,332,253,209,0.1682662129467226,0.5868745759394389,0.08316409127527305,0.5893132266233873
ant-ivy,77,fn_heavy,0.15,none,332,220,153,0.13120160437311962,0.5644436671997273,0.011744879529039784,0.49184082638565924
ant-ivy,77,fn_heavy,0.2,none,332,172,85,0.06415130426077896,0.5077061956339223,0.014512010317386241,0.49182101679191526
ant-ivy,77,fn_heavy,0.25,none,332,133,12,-0.06539154811724734,0.4054517287552344,-0.05457267380034753,0.3932258743940505
ant-ivy,77,fn_heavy,0.3,none,332,152,0,-0.1098486213274269,0.36191905339001207,-0.020680969579305895,0.4515560609002358
ant-ivy,101,symmetric,0.05,none,332,379,315,0.16774763481030722,0.5810382598195687,-0.056156748121049524,0.3489203114272525
ant-ivy,101,symmetric,0.1,none,332,454,298,0.12903790590365863,0.5652913701612805,-0.009024968957593697,0.46217926088240086
ant-ivy,101,symmetric,0.15,none,332,514,285,0.10504767211209563,0.5504171309517358,-0.015552034387647394,0.4563385365901373
ant-ivy,101,symmetric,0.2,none,332,564,264,0.07515090725198043,0.5345241619069057,-0.010644870571498863,0.4680925221580584
ant-ivy,101,symmetric,0.25,none,332,604,241,0.06286056606564512,0.532430979475122,-0.011310676774981803,0.4750497710228881
ant-ivy,101,symmetric,0.3,none,332,642,217,0.04212628877838937,0.5168206695241272,-0.03767992499942294,0.4404196606642122
ant-ivy,101,fp_heavy,0.05,none,332,376,314,0.17402292029147576,0.5838555051021127,-0.0915248826933228,0.29784950267479005
ant-ivy,101,fp_heavy,0.1,none,332,436,288,0.13198413873509976,0.5682148268475238,-0.009656864297113798,0.4646911151318558
ant-ivy,101,fp_heavy,0.15,none,332,484,268,0.11070163121080408,0.5538587973119612,-0.013561072105784354,0.4664663415673781
ant-ivy,101,fp_heavy,0.2,none,332,519,239,0.06295840083456979,0.5298587387354686,-0.0086969980254005,0.4747123007519284
ant-ivy,101,fp_heavy,0.25,none,332,554,211,0.02862470430568431,0.503781666673583,-0.036318097578073825,0.43542736664944154
ant-ivy,101,fp_heavy,0.3,none,332,591,190,0.057223137387707936,0.5237571440388274,-0.04431760610531966,0.4282474059379464
ant-ivy,101,mid,0.05,none,332,337,294,0.16189880943450846,0.57309991100687,-0.09265692570680777,0.29957756732461976
ant-ivy,101,mid,0.1,none,332,360,257,0.11208255678128742,0.5522989416443701,-0.07449373622273198,0.34952411741577033
ant-ivy,101,mid,0.15,none,332,376,206,0.1298010633616802,0.5674190890711447,-0.0012427301534810747,0.4831111100682709
ant-ivy,101,mid,0.2,none,332,389,170,0.0421058048455136,0.5013762723531443,-0.03071484635602336,0.431821861945326
ant-ivy,101,mid,0.25,none,332,409,141,0.03388336450532335,0.5026153175806046,-0.023337366688844185,0.45412552950922735
ant-ivy,101,mid,0.3,none,332,420,105,-0.00866868144799154,0.4710726599907626,-0.04988866400524637,0.4197839706322948
ant-ivy,101,fn_heavy,0.05,none,332,282,268,0.1576329943365578,0.5732618173565769,0.060550539956181655,0.5621340912087476
