project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-math,123,symmetric,0.15,real,335,818,279,0.02298734773492775,0.4874230280647713,-0.02870032706596855,0.4139513154764524
commons-math,123,symmetric,0.2,uniform,335,991,262,0.017795224642705148,0.47161036825932556,-0.001788802839951078,0.49314766607590316
commons-math,123,symmetric,0.2,real,335,991,262,0.011927101378799885,0.47226653195646207,0.005762743113970929,0.5060755923281995
commons-math,123,symmetric,0.25,uniform,335,1166,249,0.030684754290126983,0.49688767310492665,0.130679419342432,0.6751050005555063
commons-math,123,symmetric,0.25,real,335,1166,249,0.011279585418526842,0.481588811674364,-0.0032387323306691104,0.4921285090767268
commons-math,123,symmetric,0.3,uniform,335,1331,227,0.021818627033215,0.4916535319893506,0.06019619468149013,0.5932628674634888
commons-math,123,symmetric,0.3,real,335,1331,227,-0.0012968865145891594,0.4694084013074895,-0.006154297595668292,0.4837311460727724
commons-math,123,fp_heavy,0.05,uniform,335,477,308,0.0634740879936957,0.514757292745318,0.07298862222706083,0.608471692980349
commons-math,123,fp_heavy,0.05,real,335,477,308,0.07515630565517743,0.5331958092737735,0.16395828529837234,0.7380503403152815
commons-math,123,fp_heavy,0.1,uniform,335,627,283,0.06246116605814825,0.5206590312420967,0.03450379402149931,0.5555873976891813
commons-math,123,fp_heavy,0.1,real,335,627,283,0.0717634268574691,0.5385836487727,0.06300534510589498,0.5983893485771214
commons-math,123,fp_heavy,0.15,uniform,335,792,262,0.055324826021470486,0.524465868913564,0.050039207824580566,0.5764369930056112
commons-math,123,fp_heavy,0.15,real,335,792,262,0.008396604437429518,0.4764921892834668,0.04661664756931913,0.5727516880943183
commons-math,123,fp_heavy,0.2,uniform,335,940,240,0.04650132437497088,0.5096150964372639,0.09715282392783095,0.6378921880454812
commons-math,123,fp_heavy,0.2,real,335,940,240,0.01888255030959333,0.47529947659028526,0.001642758655527195,0.49846986119879966
commons-math,123,fp_heavy,0.25,uniform,335,1109,221,0.023253594022094946,0.4881739472585062,-0.02265312397331764,0.45044050496153415
commons-math,123,fp_heavy,0.25,real,335,1109,221,0.007046353142630007,0.4791152254022502,0.0013613100547079004,0.5000027559087539
commons-math,123,fp_heavy,0.3,uniform,335,1264,194,0.027278123749612575,0.4844681295531681,0.004204726332573104,0.5049028785758894
commons-math,123,fp_heavy,0.3,real,335,1264,194,0.012153736657141074,0.479360854962175,-0.014988628344260445,0.47562810305579123
commons-math,123,mid,0.05,uniform,335,431,283,0.06134278422174583,0.5100719471488331,-0.0102819594327563,0.3442592291037549
commons-math,123,mid,0.05,real,335,431,283,0.06870464742020874,0.5315514262750813,0.07846254146003918,0.6163734115163176
commons-math,123,mid,0.1,uniform,335,536,240,0.04203409469644821,0.5021687404711378,0.06538418749872184,0.5962863695211815
commons-math,123,mid,0.1,real,335,536,240,0.0815777539611126,0.547132787147618,0.03398436610788978,0.5548276707344212
commons-math,123,mid,0.15,uniform,335,649,195,0.02509027329248184,0.4828556666344574,0.043348787452222405,0.5682103293254372
commons-math,123,mid,0.15,real,335,649,195,0.05006705583657088,0.5092785649989492,0.01576824514663342,0.5255529161363064
commons-math,123,mid,0.2,uniform,335,772,155,0.016524133676581045,0.47277574182933657,0.003956239591511868,0.5015524951944805
commons-math,123,mid,0.2,real,335,772,155,0.004087606192037714,0.4623842445334908,-0.029809066814506312,0.4517244789934609
commons-math,123,mid,0.25,uniform,335,875,112,-0.017683125206318567,0.4397400085769119,0.034404393401772926,0.5421096682025711
commons-math,123,mid,0.25,real,335,875,112,0.013121013047775019,0.47764262791614714,-0.03602692018457292,0.4417646060374569
commons-math,123,mid,0.3,uniform,335,989,58,0.0034196922882222323,0.4631221361620713,-0.04880238783619105,0.38890829354239687
commons-math,123,mid,0.3,real,335,989,58,-0.017597733397006324,0.45289569806755914,0.010734364718132595,0.5133985789099195
commons-math,123,fn_heavy,0.05,uniform,335,329,226,0.09275797022890575,0.551883415935357,0.063495685349114,0.5973715557551378
commons-math,123,fn_heavy,0.05,real,335,329,226,0.10892926561011153,0.5584501465767184,0.0796646145092741,0.6155336787362337
commons-math,123,fn_heavy,0.1,uniform,335,317,128,0.05274977452024292,0.48702000931584943,0.054005957586879025,0.5817338940397381
commons-math,123,fn_heavy,0.1,real,335,317,128,0.0334461316763912,0.4962439412687849,0.02334015754764846,0.5334924444712592
commons-math,123,fn_heavy,0.15,uniform,335,314,30,-0.02573429157757439,0.4269168006263173,-0.08328341701940944,0.2808774142027202
commons-math,123,fn_heavy,0.15,real,335,314,30,-0.02726581514323719,0.44195430732519786,0.13121297796070355,0.6976648922825627
commons-math,123,fn_heavy,0.2,uniform,335,385,0,-0.010663362144967423,0.43542824237909505,0.021346629975793723,0.5238157362226009
commons-math,123,fn_heavy,0.2,real,335,385,0,-0.0037692977483292146,0.46245750364463495,0.056149234034301436,0.5879250896650006
commons-math,123,fn_heavy,0.25,uniform,335,486,0,-0.03282072766847836,0.41508311108884965,0.03848836201816998,0.5433413135515444
commons-math,123,fn_heavy,0.25,real,335,486,0,-0.031325462134910574,0.43783055852101327,0.06034882146409908,0.5918399019981097
commons-math,123,fn_heavy,0.3,uniform,335,602,0,-0.01356216107042092,0.4252133224612026,-0.008651589199855557,0.4826598278934541
commons-math,123,fn_heavy,0.3,real,335,602,0,-0.018222967118158143,0.4468382186246443,-0.002134081354654578,0.4944518567810466
commons-math,202,symmetric,0.05,uniform,335,493,320,0.11280405577257915,0.5737838389225047,0.02192442400606796,0.5351851247271818
commons-math,202,symmetric,0.05,real,335,493,320,0.0780351580400657,0.5417191914916696,0.05897663651257606,0.5917841931556828
commons-math,202,symmetric,0.1,uniform,335,650,303,0.060479629305227704,0.5148326898610966,0.016898597724621746,0.5272553068289885
commons-math,202,symmetric,0.1,real,335,650,303,0.04140506239801449,0.5064299578091572,-0.1494755833450573,0.2400956531728785
commons-math,202,symmetric,0.15,uniform,335,826,289,0.04748655715140356,0.5075209083469087,0.0554811952113408,0.5844696402601914
commons-math,202,symmetric,0.15,real,335,826,289,0.034648727793394195,0.4987680916112602,-0.02457184911601058,0.46018412039799184
commons-math,202,symmetric,0.2,uniform,335,973,271,0.04847297328775796,0.4952297012761082,0.14467494998021035,0.7040636878924947
commons-math,202,symmetric,0.2,real,335,973,271,0.043767770665718936,0.5110420931655826,0.05527296579003661,0.580751047393107
commons-math,202,symmetric,0.25,uniform,335,1128,246,0.03240782619066354,0.49614876535856745,0.05255333024344995,0.5506247008716315
commons-math,202,symmetric,0.25,real,335,1128,246,0.03213884770756135,0.49324267819757306,-0.03362722542671292,0.44565814295432477
commons-math,202,symmetric,0.3,uniform,335,1297,226,0.03286956073493695,0.5067919303370431,0.05658038727636258,0.5765675780130525
