project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean,mean_boost_pos_labels,mean_lam_pos_labels,mean_boost_neg_labels,fp_label_rate,fn_label_rate,final_ma_pred
ant-ivy,314,fn_heavy,0.05,real,332,309,275,0.17288823582915938,0.5988612502649919,0.06843533758224984,0.5765199747179666,3.6990998696216657,17.057910242969005,5.133010430219763,0.019198193111236588,0.032185206098249576,8.307974050308167e-15
ant-ivy,314,fn_heavy,0.1,uniform,332,272,212,0.1022620672441686,0.5314190581690771,0.05071198482504795,0.5307940810110828,4.3613472718269,19.68108171023287,5.211738334932828,0.03387916431394692,0.06775832862789384,0.04085777175436708
ant-ivy,314,fn_heavy,0.1,real,332,272,212,0.08400368514763147,0.5331807786265114,-0.021823936721393163,0.4553104557272301,4.047289271702245,22.011031361689305,5.1359738294870345,0.03387916431394692,0.06775832862789384,0.8461691658240071
ant-ivy,314,fn_heavy,0.15,uniform,332,246,157,0.0954341948859946,0.5376846083257365,0.0704272746513434,0.5789295234767242,4.232793745069634,20.77901933609788,5.507539875729363,0.0502540937323546,0.09881422924901186,0.9360001717543669
ant-ivy,314,fn_heavy,0.15,real,332,246,157,0.14913357199398355,0.5768438192709384,-0.08655161305065255,0.3654572625699748,3.7871980361257314,21.512565334462156,5.541551422831573,0.0502540937323546,0.09881422924901186,0.94223610691584
ant-ivy,314,fn_heavy,0.2,uniform,332,202,87,0.11538374583476198,0.5401454294726425,-0.0006435851605367864,0.49032058764970515,3.928670142949097,23.62270981956307,4.874235015699184,0.06493506493506493,0.1383399209486166,0.8400251658349221
ant-ivy,314,fn_heavy,0.2,real,332,202,87,0.09607608295045715,0.5342036253939023,0.05897034682490009,0.5710348794193594,3.311781731272358,24.950773258023588,5.110401464292594,0.06493506493506493,0.1383399209486166,0.9423366821648884
ant-ivy,314,fn_heavy,0.25,uniform,332,159,22,0.0032808146590388317,0.44606499283107004,-0.0028623500113807345,0.4859681196955875,3.2820282391924067,26.764696941936798,4.859079476616134,0.07735742518351214,0.17504234895539245,0.9773195394589429
ant-ivy,314,fn_heavy,0.25,real,332,159,22,-0.032618805097591325,0.4343969391521146,-0.12966558098846642,0.33089084102425903,3.57517683495805,33.78831821689941,5.533588774773572,0.07735742518351214,0.17504234895539245,0.9999995705184508
ant-ivy,314,fn_heavy,0.3,uniform,332,160,0,-0.0405919800608763,0.411212179745641,-0.04870438709802712,0.40012706624346894,3.430647643016958,29.928999876059844,5.333709935546765,0.09034443817052512,0.18746470920383965,0.9938457618718205
ant-ivy,314,fn_heavy,0.3,real,332,160,0,-0.0046585688505856055,0.47010454558807535,0.003707317448231069,0.5041280359351135,3.703706012529405,36.628851539150894,5.939991635275251,0.09034443817052512,0.18746470920383965,0.9999995706134275
ant-ivy,999,symmetric,0.05,uniform,332,385,319,0.18434577784886994,0.5906571478929483,0.04307094711930578,0.5513681883327629,4.390863789985575,12.88758073895051,5.080937234675617,0.037267080745341616,0.007340485601355167,0.3999998282013093
ant-ivy,999,symmetric,0.05,real,332,385,319,0.14573089253201454,0.5762226335545909,-0.021820889621238338,0.4689372686599256,3.4816862018374053,13.163287268494662,5.290289643232271,0.037267080745341616,0.007340485601355167,0.04140827415652634
