variant,project,TP,FP,FN,TN,N,precision,recall,f1,gmean,fp_rate,fn_rate,mcc,kappa
MASZZ,commons-scxml,10,21,37,476,544,0.3225806451612903,0.2127659574468085,0.2564102564102564,0.4514153814047261,0.04225352112676056,0.7872340425531915,0.20665392276563646,0.20157902727870836
MASZZ,commons-validator,12,139,24,423,598,0.07947019867549669,0.3333333333333333,0.12834224598930483,0.5008888895905982,0.24733096085409254,0.6666666666666666,0.04708554535761541,0.034471145274085235
MASZZ,commons-vfs,44,109,70,887,1110,0.2875816993464052,0.38596491228070173,0.3295880149812734,0.5862813149966827,0.10943775100401607,0.6140350877192983,0.24351078793363481,0.240150524311053
MASZZ,giraph,16,43,147,638,844,0.2711864406779661,0.09815950920245399,0.14414414414414414,0.3032515103319332,0.0631424375917768,0.901840490797546,0.054210866404149155,0.046236930067684034
MASZZ,gora,9,44,30,470,553,0.16981132075471697,0.23076923076923078,0.19565217391304346,0.45936332708171707,0.08560311284046693,0.7692307692307693,0.12625721024397996,0.124513285695948
MASZZ,opennlp,12,37,79,958,1086,0.24489795918367346,0.13186813186813187,0.1714285714285714,0.3563207723297065,0.0371859296482412,0.8681318681318682,0.1263901324560386,0.1197998910020821
MASZZ,parquet-mr,38,138,120,824,1120,0.2159090909090909,0.24050632911392406,0.22754491017964074,0.4538782008372892,0.14345114345114346,0.759493670886076,0.09283088550295678,0.09264469453376212
LSZZ,ant-ivy,138,142,194,1297,1771,0.4928571428571429,0.41566265060240964,0.4509803921568627,0.6120826826872937,0.09867963863794302,0.5843373493975904,0.33909203538976923,0.3373039383828619
LSZZ,commons-bcel,13,22,47,743,825,0.37142857142857144,0.21666666666666667,0.2736842105263158,0.4587327433784235,0.02875816993464052,0.7833333333333333,0.242105799681037,0.2325581395348837
LSZZ,commons-beanutils,16,64,21,510,611,0.2,0.43243243243243246,0.27350427350427353,0.6198523772502799,0.11149825783972125,0.5675675675675675,0.22692404660811066,0.20790946665243182
LSZZ,commons-codec,8,34,28,691,761,0.19047619047619047,0.2222222222222222,0.20512820512820512,0.4602181724829267,0.04689655172413793,0.7777777777777778,0.16299589678376383,0.1624596158625342
LSZZ,commons-collections,18,137,32,1636,1823,0.11612903225806452,0.36,0.17560975609756097,0.5763529657395294,0.0772701635645798,0.64,0.16555684430142625,0.1399383052077663
LSZZ,commons-compress,35,56,143,1396,1630,0.38461538461538464,0.19662921348314608,0.26022304832713755,0.4347938794950207,0.03856749311294766,0.8033707865168539,0.21472371272996588,0.20120470653132194
LSZZ,commons-configuration,38,87,117,1596,1838,0.304,0.24516129032258063,0.2714285714285714,0.48217016554448855,0.05169340463458111,0.7548387096774194,0.21354190099514309,0.21210363739519633
LSZZ,commons-dbcp,24,107,34,872,1037,0.183206106870229,0.41379310344827586,0.25396825396825395,0.6070976064739599,0.10929519918283963,0.5862068965517241,0.21061529365316503,0.1912642355791302
LSZZ,commons-digester,7,89,12,971,1079,0.07291666666666667,0.3684210526315789,0.12173913043478261,0.5809368183303221,0.08396226415094339,0.631578947368421,0.13141251097885612,0.09513687654126235
LSZZ,commons-io,27,68,46,1001,1142,0.28421052631578947,0.3698630136986301,0.32142857142857145,0.5885029418334393,0.06361085126286249,0.6301369863013698,0.2712653376803933,0.2685492117357545
LSZZ,commons-jcs,11,39,77,704,831,0.22,0.125,0.15942028985507248,0.34414933063509134,0.052489905787348586,0.875,0.09382610616867475,0.08955590396494084
LSZZ,commons-lang,46,180,100,2643,2969,0.20353982300884957,0.3150684931506849,0.24731182795698922,0.5431197933724927,0.06376195536663125,0.684931506849315,0.20491253712775268,0.199480777601023
LSZZ,commons-math,90,223,245,3468,4026,0.28753993610223644,0.26865671641791045,0.27777777777777773,0.5024193681525443,0.0604172311026822,0.7313432835820896,0.21479435545736653,0.2146479277140373
LSZZ,commons-net,31,47,86,957,1121,0.3974358974358974,0.26495726495726496,0.31794871794871793,0.5025473977805859,0.046812749003984064,0.7350427350427351,0.26212873473927134,0.2558112836485428
LSZZ,commons-scxml,5,12,42,485,544,0.29411764705882354,0.10638297872340426,0.15625,0.3222023830070077,0.02414486921529175,0.8936170212765957,0.13279156009863088,0.1156601842374616
LSZZ,commons-validator,9,38,27,524,598,0.19148936170212766,0.25,0.21686746987951808,0.4828002541520175,0.06761565836298933,0.75,0.1612063814439607,0.15956756756756763
LSZZ,commons-vfs,26,51,88,945,1110,0.33766233766233766,0.22807017543859648,0.2722513089005236,0.465179409822452,0.05120481927710843,0.7719298245614035,0.2113145223711421,0.206547563948286
LSZZ,giraph,12,18,151,663,844,0.4,0.0736196319018405,0.12435233160621761,0.2677195146932827,0.02643171806167401,0.9263803680981595,0.10060632985794353,0.06842050263859123
LSZZ,gora,8,29,31,485,553,0.21621621621621623,0.20512820512820512,0.21052631578947367,0.43994866053327,0.05642023346303502,0.7948717948717948,0.15237804600722402,0.1523172040263655
LSZZ,opennlp,11,28,80,967,1086,0.28205128205128205,0.12087912087912088,0.16923076923076924,0.34274990499924995,0.02814070351758794,0.8791208791208791,0.13809764491966703,0.12525171163914617
LSZZ,parquet-mr,25,61,133,901,1120,0.29069767441860467,0.15822784810126583,0.20491803278688525,0.38496063348598364,0.06340956340956341,0.8417721518987342,0.12396488417269033,0.11712121704645184
RSZZ,ant-ivy,178,219,154,1220,1771,0.44836272040302266,0.536144578313253,0.48834019204389567,0.674202684865225,0.15218902015288394,0.463855421686747,0.35932859386536936,0.3570661763918668
