project,seed,n_commits,defect_ratio,gmean,mcc
jgroups,123,21468,0.293692938326812,0.7293876980284363,0.43866683583983157
jgroups,202,21468,0.293692938326812,0.6548916349910181,0.28796613939358257
jgroups,314,21468,0.293692938326812,0.7221385512229263,0.41193869219210555
jgroups,999,21468,0.293692938326812,0.711593192060637,0.3930458356003739
matplotlib,7,22095,0.27617107942973523,0.802503115872251,0.46573801737293935
matplotlib,13,22095,0.27617107942973523,0.744525366183121,0.4299818694111522
matplotlib,21,22095,0.27617107942973523,0.7363305071451205,0.36833209636109615
matplotlib,42,22095,0.27617107942973523,0.7361759332757521,0.34377957184944813
matplotlib,77,22095,0.27617107942973523,0.6673901085714211,0.2722130029719893
matplotlib,101,22095,0.27617107942973523,0.7153951730663121,0.4049732605352418
matplotlib,123,22095,0.27617107942973523,0.7167061833069094,0.32811746866097335
matplotlib,202,22095,0.27617107942973523,0.7757503367833144,0.433628873572531
matplotlib,314,22095,0.27617107942973523,0.6934240331574426,0.3517944500883535
matplotlib,999,22095,0.27617107942973523,0.8062084863861014,0.46923189706906165
neutron,7,24057,0.38300702498233363,0.8066859143059575,0.6404479654480594
neutron,13,24057,0.38300702498233363,0.8579549217688844,0.7481781743033733
neutron,21,24057,0.38300702498233363,0.871174469950425,0.771431171317255
neutron,42,24057,0.38300702498233363,0.8771486959020022,0.780234107223011
neutron,77,24057,0.38300702498233363,0.9300583107833079,0.8625659899405257
neutron,101,24057,0.38300702498233363,0.9263861061050038,0.8423012440574961
neutron,123,24057,0.38300702498233363,0.9261005072241157,0.8427643687173442
neutron,202,24057,0.38300702498233363,0.9279586270489818,0.8449605586605864
neutron,314,24057,0.38300702498233363,0.9193428927936866,0.8481054560740967
neutron,999,24057,0.38300702498233363,0.9209442924801751,0.8483371554162404
nova,7,61364,0.40507463659474613,0.8831636215173524,0.6475915070963192
nova,13,61364,0.40507463659474613,0.8545418988091278,0.6092980047503438
nova,21,61364,0.40507463659474613,0.8871550447871563,0.6543061415345103
nova,42,61364,0.40507463659474613,0.887949121202116,0.639053211923223
