project,condition,seed,config,rule,eps,min_pos,rate_update,mcc_avg,mcc,filter_rate,n_filtered
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=30|observed,fixed/tau=0.35,0.0,30.0,observed,0.03064546953793582,0.18575767975345348,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=30|suppress,fixed/tau=0.35,0.0,30.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=50|observed,fixed/tau=0.35,0.0,50.0,observed,0.03064546953793582,0.18575767975345348,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.0|minpos=50|suppress,fixed/tau=0.35,0.0,50.0,suppress,0.030737690380033208,0.16979946984220542,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=20|observed,fixed/tau=0.35,0.1,20.0,observed,0.032437554151800184,0.18902873250309082,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=20|suppress,fixed/tau=0.35,0.1,20.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=30|observed,fixed/tau=0.35,0.1,30.0,observed,0.032437554151800184,0.18902873250309082,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=30|suppress,fixed/tau=0.35,0.1,30.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=50|observed,fixed/tau=0.35,0.1,50.0,observed,0.032437554151800184,0.18902873250309082,0.29411764705882354,10.0
commons-scxml,oracle,7,fixed/tau=0.35|eps=0.1|minpos=50|suppress,fixed/tau=0.35,0.1,50.0,suppress,0.031207188363809712,0.18071615887392845,0.29411764705882354,10.0
commons-scxml,oracle,13,ORB,-,,,-,0.11726577104239001,0.17324259431578323,,
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=20|observed,quantile/q=0.05,0.0,20.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=20|suppress,quantile/q=0.05,0.0,20.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=30|observed,quantile/q=0.05,0.0,30.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=30|suppress,quantile/q=0.05,0.0,30.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=50|observed,quantile/q=0.05,0.0,50.0,observed,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.0|minpos=50|suppress,quantile/q=0.05,0.0,50.0,suppress,0.11726577104239001,0.17324259431578323,0.0,0.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=20|observed,quantile/q=0.05,0.1,20.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=20|suppress,quantile/q=0.05,0.1,20.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=30|observed,quantile/q=0.05,0.1,30.0,observed,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
commons-scxml,oracle,13,quantile/q=0.05|eps=0.1|minpos=30|suppress,quantile/q=0.05,0.1,30.0,suppress,0.11726577104239001,0.17324259431578323,0.029411764705882353,1.0
