cfg_wo_ru,condition,observed,suppress,observed_minus_suppress
quantile/q=0.1|eps=0.0|minpos=30.0,BSZZ,0.09868799853968505,0.09541798421349741,0.003270014326187634
quantile/q=0.1|eps=0.0|minpos=30.0,LSZZ,0.11553788167997726,0.11570240670642207,-0.00016452502644480338
quantile/q=0.1|eps=0.0|minpos=30.0,MASZZ,0.08573489849031447,0.08689121588109903,-0.0011563173907845614
quantile/q=0.1|eps=0.0|minpos=30.0,oracle,0.10433447602355114,0.1035372849528662,0.0007971910706849467
quantile/q=0.1|eps=0.0|minpos=50.0,BSZZ,0.08804975595547916,0.08814036423722046,-9.060828174130287e-05
quantile/q=0.1|eps=0.0|minpos=50.0,LSZZ,0.11073117934285905,0.11394050605132665,-0.0032093267084676025
quantile/q=0.1|eps=0.0|minpos=50.0,MASZZ,0.0863830797032047,0.08834917646389799,-0.0019660967606932866
quantile/q=0.1|eps=0.0|minpos=50.0,oracle,0.10468406099299503,0.10107202688884667,0.0036120341041483567
quantile/q=0.1|eps=0.1|minpos=20.0,BSZZ,0.08593256486668707,0.08264251726488508,0.0032900476018019875
quantile/q=0.1|eps=0.1|minpos=20.0,LSZZ,0.11499841614755851,0.11392612667674169,0.0010722894708168201
quantile/q=0.1|eps=0.1|minpos=20.0,MASZZ,0.08657881462517371,0.08847379188242163,-0.0018949772572479234
quantile/q=0.1|eps=0.1|minpos=20.0,oracle,0.10795481548675377,0.10653390530107698,0.0014209101856767908
quantile/q=0.1|eps=0.1|minpos=30.0,BSZZ,0.09784425749372049,0.09589995451915084,0.0019443029745696422
quantile/q=0.1|eps=0.1|minpos=30.0,LSZZ,0.11609199323811598,0.11432872025064507,0.0017632729874709069
quantile/q=0.1|eps=0.1|minpos=30.0,MASZZ,0.0856583750613356,0.08693888126012521,-0.0012805061987896105
quantile/q=0.1|eps=0.1|minpos=30.0,oracle,0.10488615747174194,0.10395253783186507,0.0009336196398768704
quantile/q=0.1|eps=0.1|minpos=50.0,BSZZ,0.08686766258721114,0.08714444124895633,-0.0002767786617451917
quantile/q=0.1|eps=0.1|minpos=50.0,LSZZ,0.11200276659464496,0.11313961818391578,-0.0011368515892708209
quantile/q=0.1|eps=0.1|minpos=50.0,MASZZ,0.0855038550032129,0.09197188808737926,-0.0064680330841663525
quantile/q=0.1|eps=0.1|minpos=50.0,oracle,0.103504962011535,0.10165557921172692,0.0018493827998080775
quantile/q=0.2|eps=0.0|minpos=20.0,BSZZ,0.08927102492838877,0.09131065266461214,-0.0020396277362233622
quantile/q=0.2|eps=0.0|minpos=20.0,LSZZ,0.11386854551482677,0.11750512855017753,-0.0036365830353507628
quantile/q=0.2|eps=0.0|minpos=20.0,MASZZ,0.09760696599294456,0.10036585827871791,-0.0027588922857733483
quantile/q=0.2|eps=0.0|minpos=20.0,oracle,0.10873819931271093,0.1075510167590714,0.001187182553639532
quantile/q=0.2|eps=0.0|minpos=30.0,BSZZ,0.11163793565098029,0.11208025419338762,-0.0004423185424073245
quantile/q=0.2|eps=0.0|minpos=30.0,LSZZ,0.11555653520797692,0.11632709233509499,-0.0007705571271180711
quantile/q=0.2|eps=0.0|minpos=30.0,MASZZ,0.09213801621568694,0.09393184613071774,-0.001793829915030798
quantile/q=0.2|eps=0.0|minpos=30.0,oracle,0.1055712730594197,0.1045149102441191,0.001056362815300596
quantile/q=0.2|eps=0.0|minpos=50.0,BSZZ,0.09342470020628509,0.09300212166426218,0.00042257854202290557
quantile/q=0.2|eps=0.0|minpos=50.0,LSZZ,0.11358242735363792,0.11284784145939862,0.0007345858942393035
quantile/q=0.2|eps=0.0|minpos=50.0,MASZZ,0.09168094354827885,0.09714016391474214,-0.005459220366463291
quantile/q=0.2|eps=0.0|minpos=50.0,oracle,0.10636553350504636,0.10310952274566124,0.003256010759385128
quantile/q=0.2|eps=0.1|minpos=20.0,BSZZ,0.09330995124728662,0.089732268346981,0.0035776829003056204
quantile/q=0.2|eps=0.1|minpos=20.0,LSZZ,0.11424660523073565,0.1153167497032951,-0.001070144472559445
quantile/q=0.2|eps=0.1|minpos=20.0,MASZZ,0.09667717792961304,0.10271341293894233,-0.006036235009329288
quantile/q=0.2|eps=0.1|minpos=20.0,oracle,0.10890792891611273,0.10730547433354093,0.0016024545825717995
quantile/q=0.2|eps=0.1|minpos=30.0,BSZZ,0.1110837999772327,0.11222555513543349,-0.001141755158200794
quantile/q=0.2|eps=0.1|minpos=30.0,LSZZ,0.11413173244924667,0.11499111033552088,-0.0008593778862742152
