config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
fixed/tau=0.15|eps=0.1|minpos=50|observed,fixed/tau=0.15,0.1,50.0,observed,0.3239858757062147,0.38987794612794613,0.45655217010917115,0.5085130011600599,0.03624960280206557,-0.033544023980184065,-0.002954430907856853,-0.05318100354953869,False
fixed/tau=0.15|eps=0.1|minpos=50|suppress,fixed/tau=0.15,0.1,50.0,suppress,0.3151487758945386,0.4254208754208754,0.43974643834482324,0.5181266445972328,0.038522876482458654,-0.03663184197449154,0.0009738847995684474,-0.05121520746304418,False
fixed/tau=0.25|eps=0.0|minpos=20|observed,fixed/tau=0.25,0.0,20.0,observed,0.4563046139359699,0.7227693602693603,0.6394270622395559,0.7559714795008913,0.016550751022067503,-0.04433133067395419,-0.007875007627830818,-0.09720360224644474,False
fixed/tau=0.25|eps=0.0|minpos=20|suppress,fixed/tau=0.25,0.0,20.0,suppress,0.40211911487758945,0.6791035353535354,0.5674752132965477,0.7432263814616756,0.023085167490108277,-0.043848279963256416,0.0010643585591103427,-0.09449777191760292,False
fixed/tau=0.25|eps=0.0|minpos=30|observed,fixed/tau=0.25,0.0,30.0,observed,0.4563046139359699,0.7227693602693603,0.6394270622395559,0.7559714795008913,0.016550751022067503,-0.04433133067395419,-0.007875007627830818,-0.09720360224644474,False
fixed/tau=0.25|eps=0.0|minpos=30|suppress,fixed/tau=0.25,0.0,30.0,suppress,0.40211911487758945,0.6791035353535354,0.5674752132965477,0.7432263814616756,0.023085167490108277,-0.043848279963256416,0.0010643585591103427,-0.09449777191760292,False
fixed/tau=0.25|eps=0.0|minpos=50|observed,fixed/tau=0.25,0.0,50.0,observed,0.4563046139359699,0.7227693602693603,0.6394270622395559,0.7559714795008913,0.016550751022067503,-0.04433133067395419,-0.007875007627830818,-0.09720360224644474,False
fixed/tau=0.25|eps=0.0|minpos=50|suppress,fixed/tau=0.25,0.0,50.0,suppress,0.40211911487758945,0.6791035353535354,0.5674752132965477,0.7432263814616756,0.023085167490108277,-0.043848279963256416,0.0010643585591103427,-0.09449777191760292,False
fixed/tau=0.25|eps=0.1|minpos=20|observed,fixed/tau=0.25,0.1,20.0,observed,0.42171139359698684,0.6255050505050506,0.6376420392037526,0.6774347112582407,0.028060606185394618,-0.03345401338998481,-0.009237241036923999,-0.08446034792794987,False
fixed/tau=0.25|eps=0.1|minpos=20|suppress,fixed/tau=0.25,0.1,20.0,suppress,0.37966431261770245,0.530976430976431,0.5078916552736961,0.6663158192569957,0.037097221090360594,-0.025908479602574502,0.012157072545837935,-0.08220697075288719,False
fixed/tau=0.25|eps=0.1|minpos=30|observed,fixed/tau=0.25,0.1,30.0,observed,0.42171139359698684,0.6255050505050506,0.6376420392037526,0.6774347112582407,0.028060606185394618,-0.03345401338998481,-0.009237241036923999,-0.08446034792794987,False
fixed/tau=0.25|eps=0.1|minpos=30|suppress,fixed/tau=0.25,0.1,30.0,suppress,0.37966431261770245,0.530976430976431,0.5078916552736961,0.6663158192569957,0.037097221090360594,-0.025908479602574502,0.012157072545837935,-0.08220697075288719,False
fixed/tau=0.25|eps=0.1|minpos=50|observed,fixed/tau=0.25,0.1,50.0,observed,0.42171139359698684,0.6255050505050506,0.6376420392037526,0.6774347112582407,0.028060606185394618,-0.03345401338998481,-0.009237241036923999,-0.08446034792794987,False
fixed/tau=0.25|eps=0.1|minpos=50|suppress,fixed/tau=0.25,0.1,50.0,suppress,0.37966431261770245,0.530976430976431,0.5078916552736961,0.6663158192569957,0.037097221090360594,-0.025908479602574502,0.012157072545837935,-0.08220697075288719,False
