project,seed,oracle_asis_mcc,oracle_asis_gmean,oracle_imp_mcc,oracle_imp_gmean,bszz_mcc,bszz_gmean,oracle_asis_mcc_avg,oracle_asis_gmean_avg,oracle_imp_mcc_avg,oracle_imp_gmean_avg,bszz_mcc_avg,bszz_gmean_avg
commons-compress,101,-0.001963513722256945,0.39753696710068614,0.2384797320959734,0.8252302700569843,0.17653571989539102,0.7528202411670406,0.14786513642451207,0.5673246728639155,0.07136655323786653,0.5349116269228792,0.0398867929221368,0.495101201356336
commons-compress,123,0.024632172733992423,0.41791923086110633,0.07772928377219752,0.6168139670112118,0.1735757338627665,0.7487886483672199,0.11626766145639052,0.5516479913424442,0.1401237389188412,0.5538399821869767,0.026413949443700846,0.4855063201130491
commons-compress,202,-0.0013551018311597355,0.3976647352621394,0.24976803230217254,0.8226554816094878,0.1865213768593135,0.7661763645435011,0.13901907838245078,0.5609415793629641,0.11136226127690803,0.536838657538797,0.04121157430243265,0.5071241881077356
commons-compress,314,-0.0039972503621531555,0.3817581046600886,0.06534145519516864,0.599023239505884,0.1875549525700563,0.7675155247529905,0.13679202602076435,0.557754609373491,0.0627741575233419,0.5094793642795602,0.0365834533052567,0.5031831673660443
commons-compress,999,0.0005190133853734475,0.399780998374852,-0.007988355463536446,0.47575204803792914,0.18043476893701793,0.7582177751407445,0.15323800597126414,0.5723929366057063,0.048414210418718975,0.48009211864877716,0.037113589406392145,0.5065065626233455
commons-configuration,7,0.06662928558152065,0.629626870325341,0.14775471089273348,0.7909659518025116,-0.10421388910473955,0.1694807558687952,0.10257059958219358,0.5720981416850995,0.05875178772543679,0.5296646761798363,0.0668621473736658,0.523054834334534
commons-configuration,13,0.07572803614296475,0.6424909996089955,0.05638475608931412,0.6114956682969768,-0.0841456711488687,0.18523138892462657,0.10307106375363055,0.5795219055908611,0.09502332585489166,0.5736336539745466,0.04708402253378542,0.5083802282321201
commons-configuration,21,0.08522219554414384,0.6542597966189893,0.10557791572751558,0.6776005726693084,-0.09115945303594235,0.18194046193573177,0.12226176673846258,0.592898124469853,0.09172641831499624,0.5702463245527485,0.06008605536338844,0.5172416606646745
commons-configuration,42,0.09158957911120644,0.6613881363241373,0.10411359006594095,0.6994935623330883,-0.12012137802779811,0.1603090838863122,0.12400120579917542,0.5933172621528249,0.054923454863904916,0.5421967387494825,0.051854653218422746,0.5152098433693697
commons-configuration,77,0.07360515275380658,0.6393927080731585,0.10329368745960557,0.6748279232289132,-0.07205592429815619,0.19422750742152906,0.11950321345623581,0.5864859850684145,0.10524741121315673,0.5856311621045232,0.058247820361987585,0.5169704140319179
commons-configuration,101,0.08836851824259584,0.6578252888163947,0.06770930484168124,0.6252343023875561,-0.0967045467914036,0.1765160855590827,0.11538607590292166,0.5820502233837122,0.11158906173265098,0.5817261219966646,0.061926191868884733,0.5217650784625341
commons-configuration,123,0.08137754551744741,0.6496427704276958,0.13492383889322176,0.7660063505603075,-0.08524486098095134,0.18639302086565432,0.09359688697758067,0.563598261966452,0.12636266094198004,0.6167479957323458,0.04490931909844862,0.5085500948590636
commons-configuration,202,0.09655083023029573,0.6646696225748651,0.09110013008606828,0.6523292117865425,-0.08248458907849016,0.1884915425811192,0.06882785889196907,0.5277549352943134,0.08640566442126577,0.5627881349173374,0.03356936423337808,0.5033935701420479
commons-configuration,314,0.0881362549233398,0.6575539151262257,0.1034843291762416,0.6927049151451544,-0.08809733089331204,0.1846296364106211,0.10266541295949834,0.5686586199708891,0.10417042595619076,0.5868332996718483,0.05223069214390299,0.5150886545985403
commons-configuration,999,0.09630628531943233,0.6658172372437331,0.07234691632996085,0.6390649464521899,-0.07964863125326323,0.18815824262635086,0.10553845746449332,0.5741241376075856,0.09422754822244053,0.5836752954845525,0.055946294073169416,0.5140419938218502
commons-dbcp,7,0.0004887215600977136,0.4556832486709676,-0.009873575510650951,0.45230189506688273,0.024021671421213846,0.4573744784907222,0.05596058359440521,0.5091837897064923,0.038795974269938485,0.49323348573712866,0.061749900158532024,0.5097567250662909
commons-dbcp,13,0.0023145332738971586,0.4658447357619461,0.009517367574456061,0.472009014009607,0.021512262041947772,0.4496411224819387,0.061984639182312416,0.5174462159428417,0.0838830351450465,0.541859825155033,0.03311689481918883,0.4888014084734293
commons-dbcp,21,0.0021596569319430963,0.46565967368589634,0.01032229749806253,0.5066399358348914,0.019401641976302446,0.4230750024122139,0.035606544381598174,0.4955619085095849,0.04831467134465619,0.5117128906420317,0.0336664994796164,0.4787364112419636
commons-dbcp,42,0.002519656079425811,0.46701787937057343,0.017732191487459626,0.5088165058582244,0.023454897974825466,0.4633492657439512,0.04084513363527808,0.502550875241943,0.04759546941113757,0.5145718357692036,0.040123874766631464,0.4957431634272747
commons-dbcp,77,0.0016005575966135614,0.4612862972193565,-0.0028367215408871558,0.4306447249767216,0.022626547883451545,0.4465473895756437,0.05687303024120183,0.5171272588924669,0.021809299668334343,0.48527642459365256,0.07714888915417001,0.5258930074459701
commons-dbcp,101,0.00043780362053372776,0.4545145576345937,0.010959913881723713,0.48776349171329436,0.01767907406732317,0.4451758014757439,0.059017426449312446,0.5158334051164825,0.03652018586589337,0.5027420390864943,0.011206193366761921,0.4670102124639649
commons-dbcp,123,0.00244639275997834,0.4666417995768763,0.0002918299593980014,0.45363489996616574,0.02441816810611023,0.4443583708918436,0.05870793854742636,0.5144645484170995,0.05299661760156559,0.5090540270563252,0.052127136556822294,0.49760740074612425
commons-dbcp,202,-0.0014167174676992264,0.444000927401998,-0.0014567054096100963,0.43870956367108105,0.022941987301258956,0.43658555282322276,0.06998456763321126,0.5227225967854099,0.06113864265322316,0.5206941886497766,0.06504386254754732,0.5117883954201218
commons-dbcp,314,0.004061304192611038,0.47104724890280086,0.001939804196103032,0.4579814583652711,0.018729163218830596,0.42368933864042013,0.07518965308541625,0.5337946114815979,0.0666552849342688,0.5250532363567066,0.03671545692017,0.48607309567591916
commons-dbcp,999,-0.0024473231943728567,0.43784634337076944,0.004156461087970429,0.4682793612394699,0.02056352096219268,0.4270402145970188,0.06645395136786597,0.5193661521001767,0.049074375130542934,0.5157941280727185,0.038778764652551576,0.48209225762530583
commons-digester,7,-0.08926043809665878,0.3795535438937232,-0.03727519591570149,0.4482017847619493,0.03520244925625362,0.5155439917295163,0.028279458576507713,0.41757042815979717,0.04050427552349655,0.4378278363812765,-0.018153676427472752,0.39588326772489146
commons-digester,13,-0.09118949123458388,0.3774398450795134,-0.034075027602992004,0.45272213583756,0.025916416429268285,0.5032264938943852,0.020503973454491845,0.41696215977619033,0.03228227894045293,0.4364632549298404,-0.030416086143423626,0.37684503422806287
commons-digester,21,-0.08890470256184102,0.37994351758297495,-0.03179034148522657,0.4576943494334531,0.02836073706615999,0.5087645787981624,0.025921911139018233,0.4188292984436447,0.02745702855885748,0.41941129078730155,-0.02489971415386053,0.38080787275977973
commons-digester,42,-0.08717314090022979,0.38184243299500886,-0.06459880121772726,0.41313602346141676,0.029846152232487183,0.5105052393380091,0.030035801898896753,0.41741887775760284,0.031121456275691142,0.41733865544222526,-0.0324324908228544,0.36945414242889235
commons-digester,77,-0.09139432851215476,0.37721551227109534,-0.009872720930906496,0.4869129862673738,0.04113371113956498,0.5320211124819622,0.02870163925177051,0.4166743249995566,0.04723983898787986,0.455808774082561,-0.020455508610225617,0.37438647821819576
commons-digester,101,-0.09118398886937877,0.3774458714511394,-0.0821415888930483,0.38736450648227044,0.02722767999254001,0.5066704835793989,0.027450615035674128,0.4194515305943447,0.02733830910877934,0.41932214542554264,-0.0004481916967174386,0.43050592041675706
commons-digester,123,-0.09143557772058604,0.37717033992656934,-0.10378294692755466,0.36370777388606157,0.03195421842495088,0.5101095773146995,0.027123873025968557,0.41367765927598193,0.025721531478879345,0.41202339371969393,-0.04026753513119122,0.32694639490137584
commons-digester,202,-0.09106582245711196,0.3775752951309971,-0.1383605739623419,0.30316134323532007,-0.04134715719734437,0.4333138668518372,0.02526638329045892,0.41853577794393554,0.029868368590895433,0.4324118076135059,-0.03644129973863458,0.32828469094325546
commons-digester,314,-0.09114405809549311,0.37748960543958365,-0.06456573253133546,0.413180681968537,0.0387733690904643,0.5182724912224855,0.02631188455156147,0.4175167236394718,0.02741701515946342,0.41745858455020596,0.008611339171628943,0.4549912539712294
commons-digester,999,-0.09097251539927548,0.3776774964700879,6.596613958938581e-05,0.5000171764199722,0.02926573299728472,0.5054416299911282,0.032683376132073505,0.42489143169644866,0.051186039173246704,0.4645625164964005,-0.03381650844515831,0.3336211604909118
commons-io,7,-0.01639107153970617,0.35031625796577565,-0.018193071346324724,0.3687211209202689,0.11081040375638421,0.7976664787124903,0.04131494829623223,0.49485667880166373,0.059243822412781026,0.5200154552572789,0.08809703017387333,0.588353078720438
commons-io,13,-0.024316022642826625,0.3389457188210479,-0.020942794072571137,0.36374845496656866,0.013722956530554577,0.5370633900572863,0.053264799139789806,0.5083376526753572,0.05366433840323269,0.5135681499189957,0.06673201399828795,0.5613277505157692
commons-io,21,-0.013315666421133854,0.3745102330017327,-0.01684938201329724,0.30851327328604583,0.029852946426089145,0.5743139199814854,0.0266303725107804,0.4870959775626418,0.015036184839610398,0.4658233984816644,0.07624364725843519,0.5682295081171784
commons-io,42,-0.02407981389625928,0.34092798835983723,0.05626600902803045,0.6527281997910827,0.0006144178663768506,0.48690040539962565,0.04018677040994706,0.49821147385044445,0.04931360188430812,0.531271936604711,0.02988490501586241,0.5166916188534677
commons-io,77,-0.00495362694823523,0.4104440699547963,-0.018260593418791406,0.3545155506578814,0.08204401900937554,0.728667849494871,0.04288207816583893,0.5105299714366631,0.010313562229786346,0.4679945310192824,0.06933196444086791,0.5722256726134731
