project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,13,JITLine,BSZZ,self,chronological,0.36982771111931206,0.6618476361202607
ant-ivy,13,ORB,BSZZ,self,prequential_latency,0.21426585531628836,0.6219367204516311
ant-ivy,13,LApredict,AGSZZ,oracle,naive_kfold,0.31118152453504755,0.6894570486097322
ant-ivy,13,LApredict,AGSZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,13,JITLine,AGSZZ,oracle,naive_kfold,0.2191749116898363,0.6376825738142555
ant-ivy,13,JITLine,AGSZZ,oracle,chronological,0.12578333706866632,0.5904371557633528
ant-ivy,13,ORB,AGSZZ,oracle,prequential_latency,-0.05559455946173617,0.4178701166369144
ant-ivy,13,LApredict,AGSZZ,self,naive_kfold,0.43634717061480893,0.718463049269095
ant-ivy,13,LApredict,AGSZZ,self,chronological,0.43060380596191217,0.7243678494811923
ant-ivy,13,JITLine,AGSZZ,self,naive_kfold,0.5127167216712254,0.7560094411772164
ant-ivy,13,JITLine,AGSZZ,self,chronological,0.4275853507273329,0.7177192819911803
ant-ivy,13,ORB,AGSZZ,self,prequential_latency,0.13103694221854909,0.5811595426383697
ant-ivy,13,LApredict,MASZZ,oracle,naive_kfold,0.30735657357065804,0.6865714160117595
ant-ivy,13,LApredict,MASZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,13,JITLine,MASZZ,oracle,naive_kfold,0.20870380105927025,0.6322251442351634
ant-ivy,13,JITLine,MASZZ,oracle,chronological,0.08698325453371868,0.5634961863263701
ant-ivy,13,ORB,MASZZ,oracle,prequential_latency,-0.03814721318722315,0.4384992150764978
ant-ivy,13,LApredict,MASZZ,self,naive_kfold,0.4220384123920378,0.7112868231332261
ant-ivy,13,LApredict,MASZZ,self,chronological,0.4170399320165703,0.7179246628310063
ant-ivy,13,JITLine,MASZZ,self,naive_kfold,0.5258933289504228,0.7608382170047415
ant-ivy,13,JITLine,MASZZ,self,chronological,0.3865697310176,0.7010729405517347
ant-ivy,13,ORB,MASZZ,self,prequential_latency,0.16612262239546058,0.6037150271496967
ant-ivy,13,LApredict,LSZZ,oracle,naive_kfold,0.3239732986001684,0.6994069078081702
ant-ivy,13,LApredict,LSZZ,oracle,chronological,0.22858015075826088,0.6606428378371544
ant-ivy,13,JITLine,LSZZ,oracle,naive_kfold,0.2748508156831324,0.6517742955406444
ant-ivy,13,JITLine,LSZZ,oracle,chronological,0.17200793219689484,0.5891656568887552
ant-ivy,13,ORB,LSZZ,oracle,prequential_latency,-0.06785187327529535,0.36972033616525735
ant-ivy,13,LApredict,LSZZ,self,naive_kfold,0.3284889820638528,0.7172669283267733
ant-ivy,13,LApredict,LSZZ,self,chronological,0.25086445121504475,0.7018685914884635
ant-ivy,13,JITLine,LSZZ,self,naive_kfold,0.3948063217726852,0.746614426489191
ant-ivy,13,JITLine,LSZZ,self,chronological,0.2778469143966218,0.7002973591808064
ant-ivy,13,ORB,LSZZ,self,prequential_latency,0.08100368289037511,0.633064890656318
ant-ivy,13,LApredict,RSZZ,oracle,naive_kfold,0.31043209974015834,0.6949755628290064
ant-ivy,13,LApredict,RSZZ,oracle,chronological,0.22341719725538367,0.6627292598125221
ant-ivy,13,JITLine,RSZZ,oracle,naive_kfold,0.2485855116109464,0.6484709561027107
ant-ivy,13,JITLine,RSZZ,oracle,chronological,0.08659459221954308,0.5616379910394418
ant-ivy,13,ORB,RSZZ,oracle,prequential_latency,-0.01736441241610455,0.45811126453893114
ant-ivy,13,LApredict,RSZZ,self,naive_kfold,0.2796776479903614,0.6650394985609829
ant-ivy,13,LApredict,RSZZ,self,chronological,0.21438009789977275,0.6389329754512441
ant-ivy,13,JITLine,RSZZ,self,naive_kfold,0.2990244072719136,0.6669929908856546
ant-ivy,13,JITLine,RSZZ,self,chronological,0.16792680428400236,0.6058684939632479
ant-ivy,13,ORB,RSZZ,self,prequential_latency,0.0894796541604505,0.5808606170039654
ant-ivy,13,LApredict,RASZZ,oracle,naive_kfold,0.31378671086564347,0.6918694404210072
ant-ivy,13,LApredict,RASZZ,oracle,chronological,0.2189060650982903,0.6577901925844066
ant-ivy,13,JITLine,RASZZ,oracle,naive_kfold,0.19745364268826815,0.6248387016927108
ant-ivy,13,JITLine,RASZZ,oracle,chronological,0.07424292342592043,0.5535068883635205
ant-ivy,13,ORB,RASZZ,oracle,prequential_latency,-0.04886924375499858,0.4154901663866121
ant-ivy,13,LApredict,RASZZ,self,naive_kfold,0.41114990644782023,0.7064563970441576
ant-ivy,13,LApredict,RASZZ,self,chronological,0.4085049496239898,0.7162344012448035
ant-ivy,13,JITLine,RASZZ,self,naive_kfold,0.5073276483098648,0.753958634530957
ant-ivy,13,JITLine,RASZZ,self,chronological,0.35586887049816923,0.6873364248728815
ant-ivy,13,ORB,RASZZ,self,prequential_latency,0.1436338223810161,0.5899259724625612
ant-ivy,21,LApredict,oracle,oracle,naive_kfold,0.31535422649271944,0.6967758161157425
ant-ivy,21,LApredict,oracle,oracle,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,21,JITLine,oracle,oracle,naive_kfold,0.3409735677153322,0.7120198698192747
ant-ivy,21,JITLine,oracle,oracle,chronological,0.18637166514090295,0.6150477968276211
ant-ivy,21,ORB,oracle,oracle,prequential_latency,-0.006700708284739537,0.47442760867819966
ant-ivy,21,LApredict,oracle,self,naive_kfold,0.31535422649271944,0.6967758161157425
ant-ivy,21,LApredict,oracle,self,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,21,JITLine,oracle,self,naive_kfold,0.3409735677153322,0.7120198698192747
ant-ivy,21,JITLine,oracle,self,chronological,0.18637166514090295,0.6150477968276211
ant-ivy,21,ORB,oracle,self,prequential_latency,-0.006700708284739537,0.47442760867819966
ant-ivy,21,LApredict,BSZZ,oracle,naive_kfold,0.3137252530094002,0.6941618902853733
ant-ivy,21,LApredict,BSZZ,oracle,chronological,0.22944468158695336,0.6671891416879415
ant-ivy,21,JITLine,BSZZ,oracle,naive_kfold,0.3032650644546677,0.689502586281609
