project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,oracle,21,0.95,0.1,0.24747800228892455,0.6272106573880271,-0.07985324465073745
ant-ivy,oracle,21,0.95,0.25,0.24788865606840385,0.6268288938311065,-0.07985324465073745
ant-ivy,oracle,21,0.99,0.0,0.22916877474397734,0.6312977468405455,-0.006700708284739537
ant-ivy,oracle,21,0.99,0.05,0.24486356292568318,0.6452477788255367,-0.006700708284739537
ant-ivy,oracle,21,0.99,0.1,0.25499230207687146,0.6527163635246074,-0.006700708284739537
ant-ivy,oracle,21,0.99,0.25,0.2622285879688053,0.6596769888051016,-0.006700708284739537
ant-ivy,oracle,21,0.995,0.0,0.23283010773907253,0.6340983376270105,0.06975130650990703
ant-ivy,oracle,21,0.995,0.05,0.24878316525908983,0.6481907561143854,0.06975130650990703
ant-ivy,oracle,21,0.995,0.1,0.26003806202102464,0.6564389866925382,0.06975130650990703
ant-ivy,oracle,21,0.995,0.25,0.2735455614829772,0.6679601063733048,0.06975130650990703
ant-ivy,oracle,21,0.999,0.0,0.23157201370086872,0.6283841472621559,0.22047483487928043
ant-ivy,oracle,21,0.999,0.05,0.24753069724256077,0.6421836529301856,0.22047483487928043
ant-ivy,oracle,21,0.999,0.1,0.25945069114219416,0.6506289632607857,0.22047483487928043
ant-ivy,oracle,21,0.999,0.25,0.27913308078017657,0.6656227605779846,0.22047483487928043
ant-ivy,BSZZ,7,0.9,0.0,0.15049169958293537,0.5309640124778108,-0.011877316149593465
ant-ivy,BSZZ,7,0.9,0.05,0.16574120725694666,0.5447199244556298,-0.011877316149593465
ant-ivy,BSZZ,7,0.9,0.1,0.17853092224144568,0.5522081501732032,-0.011877316149593465
ant-ivy,BSZZ,7,0.9,0.25,0.19002161463622627,0.5675965277657196,-0.011877316149593465
ant-ivy,BSZZ,7,0.95,0.0,0.1528649309702974,0.5545421161868053,-0.004057994099827818
ant-ivy,BSZZ,7,0.95,0.05,0.16880577958262125,0.568487824124312,-0.004057994099827818
ant-ivy,BSZZ,7,0.95,0.1,0.18413171752541974,0.5770562458217058,-0.004057994099827818
ant-ivy,BSZZ,7,0.95,0.25,0.19509330276418274,0.5912680773384189,-0.004057994099827818
ant-ivy,BSZZ,7,0.99,0.0,0.15261081444690988,0.577088136745475,0.004349781924136379
ant-ivy,BSZZ,7,0.99,0.05,0.1682884486299355,0.5914492721841303,0.004349781924136379
ant-ivy,BSZZ,7,0.99,0.1,0.1870952480531671,0.6026400475100157,0.004349781924136379
ant-ivy,BSZZ,7,0.99,0.25,0.20833019822132526,0.621053860037386,0.004349781924136379
ant-ivy,BSZZ,7,0.995,0.0,0.1503018149871143,0.5769326705479703,0.044519311255234686
ant-ivy,BSZZ,7,0.995,0.05,0.16581167238805666,0.5911863491752314,0.044519311255234686
ant-ivy,BSZZ,7,0.995,0.1,0.18474569374366778,0.6026877227376757,0.044519311255234686
ant-ivy,BSZZ,7,0.995,0.25,0.21327513870399262,0.6249828727492764,0.044519311255234686
ant-ivy,BSZZ,7,0.999,0.0,0.12921408399233822,0.5578784642275952,0.16740430640104118
ant-ivy,BSZZ,7,0.999,0.05,0.1435859723393146,0.5710508596396277,0.16740430640104118
ant-ivy,BSZZ,7,0.999,0.1,0.1613992245994798,0.5817038240598991,0.16740430640104118
ant-ivy,BSZZ,7,0.999,0.25,0.19388388700939094,0.6045658629327594,0.16740430640104118
ant-ivy,BSZZ,13,0.9,0.0,0.15874711634597372,0.5310285936102266,-0.0005616286459242488
ant-ivy,BSZZ,13,0.9,0.05,0.17412283474091517,0.5444919847353733,-0.0005616286459242488
ant-ivy,BSZZ,13,0.9,0.1,0.19030602308294645,0.5528286309213535,-0.0005616286459242488
ant-ivy,BSZZ,13,0.9,0.25,0.19946366512123775,0.5656547611974461,-0.0005616286459242488
ant-ivy,BSZZ,13,0.95,0.0,0.16305386432637672,0.5586976162646503,0.0071068558086583335
ant-ivy,BSZZ,13,0.95,0.05,0.1789990051269203,0.5724328075943971,0.0071068558086583335
ant-ivy,BSZZ,13,0.95,0.1,0.19780541422699927,0.5823305139533934,0.0071068558086583335
