project,seed,A_frozen_immediate_mcc,A_frozen_immediate_gmean,B_adaptive_immediate_mcc,B_adaptive_immediate_gmean,C_adaptive_delayed_mcc,C_adaptive_delayed_gmean
commons-configuration,7,0.08718448676529064,0.6205820217495136,0.1262423481416044,0.6568271686560292,0.11925544064860542,0.650782618293361
commons-configuration,13,0.045686409832748034,0.5580241336596562,0.08133447914911061,0.6007550460370815,0.10827496800765544,0.6405816322579089
commons-configuration,21,0.10151976381169749,0.6338629622717719,0.12329131873948937,0.6543153920801932,0.11094921158507877,0.6431470475387768
commons-dbcp,7,-0.025470895970315415,0.25031804380659944,0.07893241282061388,0.5767783519921086,-0.028610074039582933,0.4550517946179391
commons-dbcp,13,-0.015011251107632628,0.2536857024815635,0.07993269866799438,0.5775135700751399,-0.026677260159877186,0.4578406979153444
commons-dbcp,21,-0.01595057954015117,0.253406773642427,0.016892355817782534,0.4968073458562653,-0.027965272091713688,0.4559833243433447
commons-digester,7,-0.00994706614229622,0.0,0.06516275904288922,0.5987493755943124,-0.021494903446599718,0.46466683058270963
commons-digester,13,0.0,0.0,0.06447803271556123,0.5978414912576756,-0.02209841992677595,0.4637892720457723
commons-digester,21,-0.0070271101825117015,0.0,0.06379559707021325,0.5969322261059659,-0.018480505036620767,0.46902999513778026
commons-io,7,0.1132309460282189,0.6515252304079433,0.0069794715990411866,0.4453334612239867,0.050039519076448755,0.5454198726931428
commons-io,13,0.10146469999505738,0.6338710632220376,0.03128052574859446,0.48959423726436097,0.028960208978439678,0.5254760654369173
commons-io,21,0.13728093523334686,0.6817748408664285,0.013269807679300864,0.4495951225471136,0.03257271033797314,0.5290925985869405
commons-jcs,7,0.07762994396578402,0.5231424527334203,0.14548787955514592,0.5918562089164077,0.3186074899509748,0.7186454159337122
commons-jcs,13,0.1682469555948697,0.6272316210643281,0.1846168198061438,0.6285884060765192,0.23997192047737156,0.6795657699757097
commons-jcs,21,0.07341685118096652,0.5212296768490855,0.13852897941466413,0.5746301114476805,0.25903043119190655,0.6964742498675415
commons-lang,7,0.07154562181671772,0.5725494437138823,0.08621601120489203,0.5782914945177553,0.12169823437725628,0.5934141478572894
commons-lang,13,0.05596348337355719,0.5676462121975467,0.05412818558633839,0.5181275329017724,0.07908308417238318,0.5730803195291032
commons-lang,21,0.06932578932898022,0.5801996026777064,0.05317927951237255,0.5247110037219541,0.06746929126023109,0.5409975624465414
commons-math,7,0.21419539710525695,0.6974777995185468,0.14643765091764047,0.6059181574229107,0.15828891573296955,0.6454739302814904
commons-math,13,0.2229552787169328,0.7045450182978297,0.13982081942143823,0.6000641075062954,0.16908456146220605,0.6553837673428936
commons-math,21,0.21001952024356502,0.6961114478139371,0.16044489393588346,0.622715953498653,0.12747989461812373,0.6109720583688176
commons-net,7,0.11864157450760203,0.5523147674922385,-0.027528581324585372,0.40582397856118707,0.10926906071191593,0.5810702070759873
commons-net,13,0.15499482411873328,0.529929842752875,0.046899395651713596,0.5254004447813362,0.03179868148580994,0.5314651328150825
commons-net,21,0.12352332553014898,0.45813309371724653,0.08422451355386161,0.5670664574736753,0.11963920064287942,0.5965681320031041
commons-scxml,7,0.015501081722602252,0.4861359120657514,0.11402972904424903,0.6129701639354073,0.15867352846365948,0.6573651239988322
commons-scxml,13,-0.0019023098935043868,0.4815948439819513,0.13784304019343077,0.6404344228724749,0.16355830851963177,0.6610686187908181
commons-scxml,21,0.0,0.4841229182759271,0.1031556736735077,0.6039421278152403,0.16854996561581054,0.6647514808182078
commons-validator,7,-0.03793202906200513,0.46309022311481113,0.17781171991421288,0.648411872349959,0.21542694310065957,0.6597942612309421
commons-validator,13,-0.023825137652069485,0.4719891128275495,0.1831303321887593,0.65178026837898,0.09153261375967,0.5595879610314958
commons-validator,21,-0.060313409261186515,0.44492269483536356,0.18045841480404726,0.6500982519790969,0.06279258937566216,0.5308030000080239
commons-vfs,7,0.1480105912684717,0.6723938054752733,0.13802119415269365,0.6395641239100505,0.04782451578067696,0.5602618562790196
commons-vfs,13,0.13339561000597172,0.6501430060409062,0.11677251165289917,0.6098004655718655,0.034364261233863665,0.5442764433618679
commons-vfs,21,0.132319696440921,0.6493195186856578,0.11215123141073345,0.6068687155823401,0.013152374159983294,0.5154990344348857
giraph,7,0.22805802859925714,0.6674332147716322,0.22567299505009294,0.6327465168809248,-0.006958338841795193,0.46336349873828
giraph,13,0.11488549070282798,0.5594027450782705,0.261544581068486,0.6591461067312155,0.006505533534202344,0.4698835066182791
giraph,21,0.15016481204905044,0.6073891781588139,0.28280278671462095,0.679166449039441,-0.029970569677958334,0.43701282783107104
gora,7,0.001611602518466546,0.5027599105689283,0.08304853352103438,0.6119957070008366,0.0832008364409479,0.6390337108798224
gora,13,-0.08408142277425697,0.30169671892332883,0.07830451708802855,0.607456739230787,0.07594681818798947,0.6273786225552799
gora,21,-0.10189971873282898,0.2838411627267204,0.07374044177485586,0.602883599616333,-0.11536779651621709,0.0
opennlp,7,-0.08672042444952205,0.358788092207349,0.1540656103901361,0.6221778203507988,0.19761273653692202,0.6653568037668077
opennlp,13,-0.08165888708140545,0.34695016996055417,0.13975782409941542,0.60874563949864,0.1917395698250356,0.6615328824232118
opennlp,21,-0.0514702758835243,0.42932893134763284,0.1065939162849045,0.5726465455548877,0.19319659862203814,0.6624909319945955
parquet-mr,7,0.13723126266278754,0.43625105594054836,0.26605040904885424,0.6655004026953223,0.19689040481611622,0.6252464924588204
parquet-mr,13,-0.06268735556631075,0.39993130604333493,0.2939820812764918,0.6831982773500495,0.17725343128968868,0.6057973933566111
parquet-mr,21,0.033675163886404576,0.37616140108518886,0.28544200114690976,0.6793814973331653,0.16049395025355612,0.5977257129049465
